country,year,A005,A104,E040,A030,A165,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D078,D059,C001,E233,F199,A124_02,A124_06,A105,E124,E069_40,C002,A040,A098,E069_01,F028,F028B,F034,F050,F063,F203,F202,E220
PER,2012,4.428392438404158,0.2827522200909825,1.5734664179474667,0.8272729447032379,0.42316232390619263,1.9273854783157736,2.310759328454854,0.5741974225630002,1.1442765405821447,0.864360360529819,3.5106198460810965,3.462877593814135,3.694287806009515,4.117426943138081,4.507702068206863,4.537445026031241,4.466115949293091,0.2897239723875694,1.7355916772096425,2.5554140348897203,0.9937116733458405,2.103790135662484,1.6895545021340332,3.232871482904843,2.766479761465683,3.3338927707780375,4.5652297624869345,4.899329186754685,4.3973542785167625,2.330465462715112,2.6173348275702972,2.9743072897842637
PER,2018,4.425806804384047,0.20291750739767195,1.4392338388788257,2.1771157332758464,0.20806353450685078,1.8772119251390356,2.002214887758269,0.839496553958831,1.509273248440033,1.0510358065412984,3.468618952551287,3.370319268991497,3.382620587621866,4.023042971805558,4.766808306770808,4.656656699846994,4.083353624525086,0.22831140899386002,1.657396108941089,2.2880609295352587,0.8972369831834677,1.6765931803858574,1.5038215070259235,2.967131242457773,3.0037073183962972,3.348869519684044,4.5284685435751655,4.911671733733653,4.502022659968409,2.163151395493326,2.6603605041274223,3.24743330412438
PHL,2012,4.807541397222222,0.71787931875,1.5193639976851852,3.4762088333333336,0.15759062916666663,3.025586927777778,3.2580357222222216,1.5781753916666665,2.064430627777778,1.7322077222222223,2.4616061638888893,2.0339458055555557,1.5103984854166668,3.8171584333333333,3.6440190995370374,3.918387925,4.292733120833333,1.1669256,3.7814786125,3.548940545833333,0.7013071833333333,2.989164275,2.443321702083333,4.468005320833333,3.895501979761904,4.4774070125,4.52003608125,4.974610741666666,4.712144406944444,3.163421272222222,2.8705563888888888,2.578104556018519
PHL,2019,4.8596327680555556,0.45660142708333334,1.4846675861111112,3.08883475,0.2665492291666666,3.1819544777777775,3.3074188222222216,1.796497315277778,2.233388758333333,1.847570695833333,2.509414218055555,2.173899993055555,1.212353354166667,3.6730590595833337,3.6130964305555553,3.9760962166666665,4.163499225000001,1.0136009666666665,3.8633303222222213,3.690950666666666,0.9012336854166665,2.65252225,2.2177859416666665,4.390701176388888,3.7642340648809514,4.408981535714286,4.617126660416667,4.984218762499999,4.690356599537037,2.9869873555555553,2.8585849916666666,2.5180255601851855
POL,2005,4.0904797580474765,0.2941766682329333,2.727720501446736,1.0667925073282998,0.9466339671346413,3.006067591423963,3.2498037216745175,1.762222691177759,2.339338054759811,2.29611864982192,2.9882593554696255,2.6146366454145338,3.016730796830768,4.512673366493066,4.861479680540813,4.37858299985668,4.316269282349229,0.3337666916493323,2.7469840617873036,2.908068765343916,0.6630721984771121,2.3374672415013107,0.8994083640236654,3.349258966029641,3.6257410628275,,4.833631131654755,,4.2953288098535145,,,2.8725684395417073
POL,2012,4.2495519703243625,0.26509127846790886,2.6017429802162413,0.8935096118012422,1.1353718322981365,3.0108851966873704,3.25903321773637,1.8007034903381642,2.5390215873015873,2.540567700138026,3.0613380728088337,2.753925905797101,3.255535727225672,4.416735090062112,4.837778276397517,4.727340476190476,4.63904612836439,0.2925714026915114,2.87072882505176,2.984648873360938,0.9984511697722567,1.9753876138716358,1.0617910766045549,2.836786923740511,3.38480938627625,3.415490684708666,4.591648636128364,4.757563090062112,3.861536436047849,2.2807845997239475,2.0151827432712217,2.207592455141477
PRI,2018,4.333037562851227,0.8296362023070097,1.7933550231686877,2.1472937000887313,0.8917480035492458,3.1085477669328596,3.4398107068914516,1.4980774918663116,2.722567287784679,2.6353149955634425,4.173321502514049,3.991422656018929,4.332298136645963,4.308784383318545,4.857537217785666,4.538598047914818,4.529724933451641,1.2732919254658386,2.244897959183673,3.432416444838805,2.7218278615794143,2.6885536823425022,2.52661934338953,3.308192842354333,2.759538598047915,4.2071238433261495,4.252440106477374,4.84472049689441,4.630779848171152,1.3309671694764862,2.1768707482993195,3.8050872522922217
PSE,2013,4.158333333333334,0.335,1.2288888888888891,2.15,0.925,3.0566666666666666,3.0883333333333334,1.2716666666666665,1.1933333333333334,1.2566666666666666,1.9433333333333331,1.175,1.4025,3.033,4.2172222222222215,2.8,3.005,0.4425,2.2466666666666666,2.34,,3.81,0.58,3.1383333333333336,3.1028571428571423,4.537857142857142,4.3175,,4.777222222222223,4.175,4.433333333333334,2.0305555555555554
QAT,2010,4.625766565098164,,2.1363675851061994,2.4450537818265388,1.071399893527913,3.5872165194427827,3.843055546957546,1.8349164143211991,2.3138489972755836,2.821358155630342,1.9010815409339266,0.9343579589781201,1.3302235628731003,3.484337058221155,4.528354690890137,4.5610383395833685,2.7012547999462706,0.8183206021590081,4.570878059195061,3.89599251334259,0.5675089006566175,4.235979167831721,0.6564489385237537,4.001112144144764,,,4.827905092340737,,4.856379154365306,4.84579952272435,4.816178983375224,1.903320085199833
ROU,2005,4.053115615615615,0.0731981981981982,1.313501001001001,4.166666666666667,1.0247747747747749,2.4540165165165164,2.5741366366366365,1.258445945945946,1.823385885885886,1.8074324324324325,2.6642267267267266,2.463400900900901,2.647804054054054,4.677083333333333,4.649962462462462,4.11036036036036,4.186373873873874,0.052083333333333336,1.9913663663663663,2.4662162162162162,1.2471846846846846,3.1390765765765765,0.37725225225225223,4.075638138138139,2.9025900900900896,,4.822635135135135,,4.5417292292292295,,,3.145332832832833
ROU,2012,4.065785427871585,0.18779378020178947,1.2890833311511232,3.863285623688321,0.3836383436464034,2.3040586584272327,2.6088216394495123,1.041691413704905,1.621849166783225,1.6050992701722995,2.944888957536791,2.664813413943461,2.365490436134311,4.387980973848815,4.815533694717668,3.8266231652171463,3.935445397370249,0.15140471166752872,1.7097841063588128,2.320721680992545,0.9565193383518416,2.5831097374285945,0.7543502943754695,3.473125081021998,2.789902982659751,3.8517365611246914,4.5541521838934464,4.785994641482719,4.40887907089345,2.45622857094446,2.748877301579901,2.7710935165562547
ROU,2018,3.766120558566461,0.24002093016753065,1.2581853100028904,3.6957728786647897,0.5801527376645,2.31594063101008,2.7552924042547233,1.1961816004983439,1.8278814024243006,1.6949926550992793,3.0556510174157214,2.8881909341310097,2.526546368928638,4.141917075158057,4.775986483563033,4.279086750051256,3.8438041866559405,0.2603208152656984,2.051859543186476,2.3946536704192276,1.0146239287267065,2.475279605654597,0.7417182941671536,3.3465423696922727,2.867741949889467,3.3646885736423413,4.413142009600617,4.793953730493798,4.208967312000332,2.130801744626716,2.428626958102536,2.746356787508345
RUS,2006,3.7510358298374364,0.21955664163807045,2.6871435171755635,4.429332731493039,1.313461428819669,2.896052281549826,3.3743874933869917,1.239143736596013,1.9238547888594884,2.021337696430185,2.3229321519458406,2.0123493648381525,2.6706204948724688,4.587370372351442,4.695648543094537,4.165346785143641,3.406576274790332,0.17340577767420912,,2.648573895269454,0.6921524036303467,0.5486309480479529,0.34808922380420454,3.0244983622412875,1.4774044485375506,,4.242173903064437,,2.8432019695281845,,,
RUS,2011,3.6286487733333335,0.11777545,2.1934352844444445,4.23107944,1.46638702,3.1035692866666666,3.3514952999999994,1.47875804,2.0926888733333335,2.1008555,2.36937562,2.1034090466666666,2.76996982,4.187373596,4.513117835555556,4.138565020000001,3.38586008,0.06323295000000001,2.2756951,2.4225463799999996,0.91278174,0.69719692,0.20415498,2.9681620266666666,1.5572920999999997,1.7367882171428572,3.8220490400000005,4.13981164,3.1662895000000004,2.04321072,1.7188723400000003,2.6625018022222227
RUS,2017,3.3853056095773257,0.16707291701082713,2.0937020997085,3.789090679813021,1.1755112920041617,3.0773247693862142,3.247350105440312,1.5846983897671545,2.0376224275876362,2.0747019696674793,2.2182130915221574,2.127988483762373,2.347174200090196,4.1267114209028035,4.357329874455091,4.215241308248427,3.3861207621759783,0.10219897730588978,2.948095475544164,2.434592633347251,0.8887949700263402,0.5522434927724987,0.3216448509908489,2.9325694410325718,1.722882605287564,1.9739157406564318,4.417853857001421,4.210397444222992,2.942144946128462,2.212483126490828,1.870444388969105,2.5097191031277637
